jd, h2o, co2, dust
2455501.0930236 3.266470292621373e-05 1.8305054244600614e-05 1.8305054244600614e-05
2455501.1346897 3.05223799150088e-05 2.201743718408278e-05 2.201743718408278e-05
2455501.1763559 3.85666429118641e-05 2.6763785302862314e-05 2.6763785302862314e-05
2455501.2180219 3.9310798263140595e-05 3.474998542092343e-05 3.474998542092343e-05
2455501.2596871 4.3439266854790884e-05 3.306747111483898e-05 3.306747111483898e-05
2455501.3013533 6.53057304134555e-05 5.947988596295597e-05 5.947988596295597e-05
2455501.3430193 7.548264415232571e-05 6.428823864274961e-05 6.428823864274961e-05
2455501.3846855 7.992374167130968e-05 6.514367870841394e-05 6.514367870841394e-05
2455501.4680178 8.122117341388449e-05 5.721400426378801e-05 5.721400426378801e-05
2455501.5096828 8.17916670351257e-05 5.5396283697259305e-05 5.5396283697259305e-05
2455501.5513489 7.189100519984238e-05 5.1547760349455286e-05 5.1547760349455286e-05
2455501.5930151 5.765652544554716e-05 3.5836941565667347e-05 0.0007596688095429172
2455501.6346814 0.0 0.0 0.0
2455501.6763474 5.191436911692238e-05 2.9537927968148285e-05 0.0008524556109588249
2455501.7180135 4.8593582123267627e-05 2.5563302000093755e-05 0.0005524077384069868
2455501.7268665 4.7504182495022144e-05 2.1225524298399178e-05 0.00026159901229947855
2455501.7707307 4.226716446065361e-05 2.1536078127346523e-05 0.0004053729150601816
2455501.812397 5.235316272052006e-05 1.9619225054605614e-05 -0.0005240029284998262
2455501.8540643 3.961801292135399e-05 2.0455605573091984e-05 0.0003198260171520419
2455501.8957303 4.059927937016094e-05 2.0343297124536937e-05 0.0005403055815194724
2455501.9373976 5.034292054922661e-05 2.484536630196744e-05 -0.0001524030810210906
2455501.9790639 3.898280877157131e-05 2.3941581220591973e-05 0.0004697445080579973
2455502.0513566 0.0 0.0 0.0
2455502.0930227 6.223419588098048e-05 3.7607862700051005e-05 0.0005970764683122636
2455502.1346889 6.824481079664516e-05 4.458387903645619e-05 0.0007272127891079559
2455502.176355 6.576468204410941e-05 5.316733908047725e-05 0.0005967010375527261
2455502.2180211 7.660659278325203e-05 6.301072633091235e-05 0.0007706434037233606
2455502.2596861 8.885066351911646e-05 6.660105334811738e-05 0.0006577519848594407
2455502.3013522 7.767632605948084e-05 6.144709526496936e-05 6.144709526496936e-05
2455502.3430184 7.401913734001382e-05 4.955710369004196e-05 4.955710369004196e-05
2455502.3846845 5.754767462107943e-05 3.9955473830359897e-05 3.9955473830359897e-05
2455502.4263507 5.683218567822218e-05 3.392143501001783e-05 3.392143501001783e-05
2455502.4680168 5.49225756326502e-05 3.35455802567973e-05 3.35455802567973e-05
2455502.5096818 4.676869602352477e-05 3.205005760295597e-05 3.205005760295597e-05
2455502.551348 5.006868912405757e-05 3.0344760067027383e-05 3.0344760067027383e-05
2455502.5930141 5.082688887357671e-05 3.2785337471932864e-05 3.2785337471932864e-05
2455502.6346803 5.469678398768135e-05 3.8114270797643974e-05 3.8114270797643974e-05
2455502.6763463 5.483254558357692e-05 5.360325366441803e-05 5.360325366441803e-05
2455502.7180124 7.123132544757612e-05 5.6541522744796024e-05 5.6541522744796024e-05
2455502.7268655 7.852892493459872e-05 5.528217095631986e-05 5.528217095631986e-05
2455502.7707298 7.483096190715347e-05 4.61228865571404e-05 0.0005050645771386155
2455502.812396 8.305418106196872e-05 5.536444843999431e-05 0.00030618771663290187
2455502.8540633 9.222768172233444e-05 5.311523257396725e-05 0.00038127016818881494
2455502.8957294 9.019293124935124e-05 5.940508245819188e-05 0.00034171759099161525
2455502.9373968 8.531787579013994e-05 4.656839071484432e-05 0.000420056616063213
2455502.9790629 8.595639026618691e-05 4.879487814121622e-05 0.0004356915675634626
2455503.3013548 0.0 0.0 0.0
2455503.3430208 4.686898392730083e-05 2.0466245024169184e-05 0.0005843791860753271
2455503.384687 4.9003932606235244e-05 1.9981555422017377e-05 0.0006758084126280434
2455503.4263531 5.028181030891833e-05 2.0594032886363703e-05 0.0005097198051908921
2455503.4680191 5.41786313099709e-05 2.858173801489381e-05 0.0006821484067141877
2455503.5096843 0.0 0.0 0.0
2455503.5513504 6.852246849238939e-05 5.8229537140439055e-05 5.8229537140439055e-05
2455503.5930166 8.401617411105804e-05 7.224241095799202e-05 7.224241095799202e-05
2455503.6346827 0.0 0.0 0.0
2455503.6763488 9.946328410777864e-05 8.348158336421762e-05 0.0005925023743986476
2455503.7180149 0.000102018031909683 8.427725504950061e-05 0.0006842692284141253
2455503.7268645 0.00011016114655224354 8.144174566009157e-05 0.00039683678100358165
2455503.7707287 0.00010837541917816354 8.224645087956746e-05 0.00041667463409559213
2455503.812395 0.0 0.0 0.0
2455503.8540623 9.08634704389923e-05 5.7655578174766814e-05 5.7655578174766814e-05
2455503.8957283 8.790474732859647e-05 5.229417147241286e-05 5.229417147241286e-05
2455503.9373956 7.761774876723392e-05 4.52157021292878e-05 0.0004214505183703116
2455503.9790619 6.988934561277101e-05 4.155154654646283e-05 0.00029983672057730523
2455504.3360915 0.0 0.0 0.0
2455504.4194249 0.0 0.0 0.0
2455505.6266225 4.586009059569413e-05 2.8349602736641277e-05 2.8349602736641277e-05
2455505.6474559 4.540141467158565e-05 2.8824677018797564e-05 0.0006492373734674488
2455505.6682897 4.680623830427379e-05 2.6371566677855518e-05 0.0003192667141999339
2455505.6891233 4.3649527994543244e-05 2.6778630417091593e-05 2.6778630417091593e-05
2455505.7099558 4.2660280110598977e-05 2.7882394721134347e-05 0.0006724216714042755
2455505.7307894 4.422877463737296e-05 2.99190068517458e-05 2.99190068517458e-05
2455505.7516231 5.24264110961662e-05 3.401440438277163e-05 3.401440438277163e-05
2455505.7724555 5.0200497591844336e-05 3.705525190565001e-05 0.0005794784866397285
2455505.7932891 5.2712885621202885e-05 4.393978211205525e-05 4.393978211205525e-05
2455505.8141228 0.0 0.0 0.0
2455505.8349564 7.232118491841434e-05 5.598295965803013e-05 0.00020472968764633612
2455505.855789 7.311273302619081e-05 6.339082147506266e-05 0.000542338308649896
2455505.8766226 8.04441484682759e-05 7.222971223736837e-05 7.222971223736837e-05
2455505.8974562 8.627743109801196e-05 7.71170683080578e-05 7.71170683080578e-05
2455505.9182887 9.863119001727543e-05 8.148866326789874e-05 0.00024725854560977663
2455505.9391222 9.71583124991049e-05 8.621444046129207e-05 0.000572358043845078
2455505.9599559 9.805851757214245e-05 8.964721411201833e-05 0.0006607571161499889
2455505.9807896 0.00010686258421633528 9.468564353556843e-05 9.468564353556843e-05
2455506.001622 0.00010589697909257977 9.239462984665814e-05 9.239462984665814e-05
2455506.0224557 0.00010096153748388754 8.845932288427967e-05 8.845932288427967e-05
2455506.0432893 0.00010208993760583174 8.958497194594487e-05 0.000684317464182617
2455506.0641218 9.90617384171616e-05 8.177218048481065e-05 0.0006214204227459719
2455506.0849553 9.731399733710408e-05 7.447927238764639e-05 0.000314816586922742
2455506.105789 9.579835894369823e-05 7.344800492884212e-05 7.344800492884212e-05
2455506.1266226 8.812638224262076e-05 6.660901867526721e-05 6.660901867526721e-05
2455506.1474552 8.270869419084333e-05 6.166362454982377e-05 6.166362454982377e-05
2455506.1682888 8.632009094406795e-05 5.939740764499635e-05 0.0002648383203967685
2455506.1891225 7.415593696140681e-05 5.502429659202239e-05 0.0006679403789402857
2455506.2099561 7.263104839239434e-05 5.176507107435805e-05 0.0006603682050814385
2455506.2307887 6.891571809966305e-05 4.711430383158939e-05 0.0005427463266308904
2455506.2516223 6.488660762990951e-05 4.2986151970385174e-05 0.0002576445155103106
2455506.2724559 5.825053842667596e-05 4.487867180211089e-05 4.487867180211089e-05
2455506.2932883 5.4280407717863935e-05 3.937934870801247e-05 3.937934870801247e-05
2455506.3141219 5.471489270091585e-05 3.762589551354905e-05 3.762589551354905e-05
2455506.3349556 5.199307644793978e-05 3.3990375036189724e-05 3.3990375036189724e-05
2455506.3557892 4.627355872979623e-05 3.2191581588788024e-05 3.2191581588788024e-05
2455506.3766219 4.96817846880914e-05 3.290342626453805e-05 0.0005699048677497901
2455506.3974555 4.784723561316358e-05 3.236738008393306e-05 0.0004886949936597896
2455506.4182892 4.9415303080722724e-05 3.088523950205259e-05 0.00027643656810749184
2455506.4391216 4.40780656322567e-05 3.2905747570429196e-05 0.0006266073408754463
2455506.4599554 4.3580492973784386e-05 3.552423017085731e-05 0.0006026833976417137
2455506.480789 4.287911785355873e-05 3.199419095737171e-05 0.000414615701827379
2455506.5016225 0.0 0.0 0.0
2455506.522455 0.0 0.0 0.0
2455506.5432886 5.135119560620784e-05 3.988691608187929e-05 3.988691608187929e-05
2455506.5641223 5.1970962183137275e-05 3.885545477396437e-05 3.885545477396437e-05
2455506.5849547 6.16068755006745e-05 4.051511536375707e-05 4.051511536375707e-05
2455506.6057884 5.350894072719736e-05 4.215226313240399e-05 4.215226313240399e-05
2455506.626622 5.555714480595217e-05 4.1112905017587986e-05 4.1112905017587986e-05
2455506.6474556 5.6513793468318365e-05 4.175403154179952e-05 4.175403154179952e-05
2455506.6682881 6.141038100440561e-05 4.4360622709753976e-05 0.0003480645263887618
2455506.6891217 5.3099547113809025e-05 4.76878514214884e-05 0.0005856708518760259
2455506.7099554 6.073290459534048e-05 5.35095951244102e-05 0.0005390339979518746
2455506.7307879 6.586969015476786e-05 5.427566574788459e-05 0.0003410315645055233
2455506.7516215 6.864426392653734e-05 5.7669340188881445e-05 0.00035452982358881273
2455506.7724551 7.548919229414877e-05 5.6745469877560254e-05 0.00011406877615323022
2455506.7932889 7.865894412957662e-05 6.049640115706314e-05 -0.00014734785019161295
2455506.8141213 7.57111035183989e-05 6.798285060339459e-05 0.0005655052273612724
2455506.8349549 7.225994422429294e-05 6.945517849695493e-05 0.0006670320535205632
2455506.8557886 9.617595310834495e-05 6.913945035015643e-05 6.913945035015643e-05
2455506.876621 8.916818603960338e-05 6.835003310382603e-05 6.835003310382603e-05
2455506.8974547 8.675418668280268e-05 6.5738700479447e-05 6.5738700479447e-05
2455506.9182883 7.526162081754983e-05 6.0354400617360844e-05 6.0354400617360844e-05
2455506.939122 7.088061894856483e-05 5.959345746441863e-05 5.959345746441863e-05
2455506.9599544 6.748778109854149e-05 5.0370649166247776e-05 5.0370649166247776e-05
2455506.9807882 6.301892210650599e-05 4.638406866033839e-05 4.638406866033839e-05
2455507.0016218 6.985283468122115e-05 4.184605175373649e-05 4.184605175373649e-05
2455507.0224542 6.371897249629727e-05 4.032086186085747e-05 4.032086186085747e-05
2455507.0432879 6.145351775735737e-05 3.799422160759936e-05 3.799422160759936e-05
2455507.0641215 5.749960648248372e-05 3.502817794850407e-05 3.502817794850407e-05
2455507.0849552 5.2978046988401105e-05 3.230050994656753e-05 3.230050994656753e-05
2455507.1907528 0.0 0.0 0.0
2455507.2004753 0.0 0.0 0.0
2455507.2115866 0.0 0.0 0.0
2455507.2213089 0.0 0.0 0.0
2455507.2324201 0.0 0.0 0.0
2455507.2421426 0.0 0.0 0.0
2455507.2532527 0.0 0.0 0.0
2455507.262975 0.0 0.0 0.0
2455507.2740862 0.0 0.0 0.0
2455507.2838087 0.0 0.0 0.0
2455507.2949199 0.0 0.0 0.0
2455507.3046377 0.0 0.0 0.0
2455507.3157525 0.0 0.0 0.0
2455507.3254749 0.0 0.0 0.0
2455507.3365861 0.0 0.0 0.0
2455507.3463085 0.0 0.0 0.0
2455507.3574198 0.0 0.0 0.0
2455507.3671422 0.0 0.0 0.0
2455507.3782533 0.0 0.0 0.0
2455507.3879747 0.0 0.0 0.0
2455507.3990858 0.0 0.0 0.0
2455507.4088081 0.0 0.0 0.0
2455507.4199194 0.0 0.0 0.0
2455507.4296372 0.0 0.0 0.0
2455507.4407533 0.0 0.0 0.0
2455507.4504745 0.0 0.0 0.0
2455507.4615857 0.0 0.0 0.0
2455507.4713081 0.0 0.0 0.0
2455507.4824193 0.0 0.0 0.0
2455507.4921416 0.0 0.0 0.0
2455507.503253 3.171805943027072e-05 2.1782080357735845e-05 2.1782080357735845e-05
2455507.5129742 8.853644917780891e-05 4.9368194539268936e-05 4.9368194539268936e-05
2455507.5240855 8.38588131044731e-05 5.713448780076261e-05 5.713448780076261e-05
2455507.5338078 8.193646089676533e-05 5.21089764866254e-05 5.21089764866254e-05
2455507.5449191 8.8261000206521e-05 5.104934230730583e-05 5.104934230730583e-05
2455507.5546369 7.703439910389374e-05 4.685347217093938e-05 4.685347217093938e-05
2455507.5657527 7.400196449424475e-05 4.714762095086348e-05 4.714762095086348e-05
2455507.5754739 7.498705799375047e-05 4.367439828745196e-05 4.367439828745196e-05
2455507.5865853 0.0 0.0 0.0
2455507.5963076 6.383097861936103e-05 4.627507375225657e-05 4.627507375225657e-05
2455507.6074187 6.760960650573196e-05 4.2450494450444254e-05 4.2450494450444254e-05
2455507.6171411 5.913861502020124e-05 4.18033214805136e-05 4.18033214805136e-05
2455507.6282526 5.35139264524595e-05 3.857844134036544e-05 3.857844134036544e-05
2455507.6379737 5.7252946345388534e-05 3.6831161759793535e-05 3.6831161759793535e-05
2455507.649085 5.7810452030361605e-05 3.5956703683795796e-05 3.5956703683795796e-05
2455507.6588073 5.777583320330047e-05 3.307688056649987e-05 3.307688056649987e-05
2455507.6699186 5.001560490519349e-05 3.536157789250247e-05 3.536157789250247e-05
2455507.6796363 5.012161815237513e-05 3.5303530542376006e-05 3.5303530542376006e-05
2455507.6907523 5.628216054156724e-05 3.262115673483872e-05 3.262115673483872e-05
2455507.7004747 4.763102850703973e-05 3.07302004565365e-05 3.07302004565365e-05
2455507.7115847 4.6861029883508094e-05 2.9928043801463604e-05 2.9928043801463604e-05
2455507.7213071 4.8164959147733176e-05 3.119679352972633e-05 3.119679352972633e-05
2455507.7324184 4.400285731295517e-05 2.864848254580513e-05 2.864848254580513e-05
2455507.7421408 4.4622827369080786e-05 3.0746371788410497e-05 3.0746371788410497e-05
2455507.753252 4.087026168428104e-05 2.9261070145961674e-05 2.9261070145961674e-05
2455507.7629744 4.7194899411933205e-05 2.680799070700191e-05 2.680799070700191e-05
2455507.7740846 4.4151517251998454e-05 2.7395402943920585e-05 2.7395402943920585e-05
2455507.7838068 4.348200628084201e-05 3.054146865848905e-05 3.054146865848905e-05
2455507.7949182 3.569252274126601e-05 2.6938318884923962e-05 2.6938318884923962e-05
2455507.8046359 3.942038269839745e-05 2.8512935198803707e-05 2.8512935198803707e-05
2455507.8192252 0.0 0.0 0.0
2455507.8289476 0.0 0.0 0.0
2455507.8400589 0.0 0.0 0.0
2455507.8497813 0.0 0.0 0.0
2455507.8608925 3.73390540260836e-05 2.1646156636952702e-05 2.1646156636952702e-05
2455507.8706149 3.781359898793716e-05 2.0566739607720154e-05 2.0566739607720154e-05
