jd, h2o, co2
2455494.5095779 0.0013830294106567424 0.0007395690393821025
2455494.5304115 0.001548696948953758 0.0009512102493662002
2455494.5512441 0.0014535047393259945 0.0007933687799810734
2455494.5720778 0.0016983939073929944 0.0006033898736321087
2455494.5929114 0.0015083183484098609 0.0006977957633367619
2455494.6137439 0.0010811736530945883 0.0005878310119288596
2455494.6345776 0.0011595846147955666 0.0004699324753378733
2455494.6554112 0.001313319008660362 0.0005400810322705726
2455494.6762448 0.0011557923638987823 0.00029970413380250963
2455494.6970775 0.0010986347607044803 0.00039687246414795205
2455494.7179112 0.0012472602037442398 0.00021744771729655706
2455494.7387446 0.00134869592707054 0.00034547407043778366
2455494.7595772 0.0011418535649003385 0.00016322430901119796
2455494.7804109 0.0008450901371587757 0.00013742474366041892
2455494.8012445 0.001026076435155588 0.00014089874868720992
2455494.822077 0.0012385096448703978 0.00011231706755484975
2455494.8429107 0.0012413238807417895 0.00018453950777451244
2455495.2005482 0.0 0.0
2455495.2213818 0.0009781099113136647 0.00021323963451037013
2455495.2422155 0.0010089522524690763 0.00029055363405806845
2455495.2630479 0.000909493424910609 0.0003444850634398923
2455495.2838816 0.000976090726329327 0.0003381911406980708
2455495.3047152 0.0010569217871540363 0.0005666872617346268
2455495.3255489 0.0011787632182314294 0.0004965271439672948
2455495.3463814 0.0013811430114325075 0.0006357453888638078
2455495.3672151 0.0011464101323071035 0.0006513195981757014
2455495.3880487 0.0011928338095881321 0.0005957732194471392
2455495.4088813 0.0012169048854515992 0.0005181814191015471
2455495.4297149 0.0012013822550522714 0.0005867946055975987
2455495.4505486 0.0014053308169638121 0.0005501451148772522
2455495.4713821 0.001409212363378893 0.0005424995973545826
2455495.4922148 0.0013923085643375312 0.0005610481040557254
2455495.5130484 0.0 0.0
2455495.5338819 0.0013622695557269232 0.00033346761412319256
2455495.5547147 0.0011430455603016127 0.00036842261092916514
2455495.5755484 0.0012878454586845655 0.0002926913408741249
2455495.5963821 0.0014260451562832636 0.00037187686692742415
2455495.6172144 0.0011878402180514314 0.00031693683200275025
2455495.638048 0.001066186071406617 0.0003145853370698672
2455495.6588817 0.0011654086811230177 0.0001947437875679446
2455495.6797152 0.001179893677834878 0.00015327608837684457
2455495.700548 0.0010685890486627026 0.00014113006930100764
2455495.7213816 0.0010950300599136388 0.00013162931575637704
2455495.7422151 0.0011221747699357383 9.676194572680995e-05
2455495.7630477 0.001051547419943171 0.00016040260091091947
2455495.7838814 0.0011072422033602707 0.00022768414787278712
2455495.804715 0.0008317821332769249 0.00018497042077126122
2455495.8255474 0.0008606481399643421 0.00021879263376653766
2455495.8463811 0.0008970936146095462 0.00030577974202217277
2455496.1554079 0.0 0.0
2455496.1762416 0.0015358207961541272 0.0002893909902597676
2455496.1970752 0.001431899270896876 0.00019795862138101227
2455496.2179079 0.001429360808457579 0.00030107768046980595
2455496.2387415 0.0012733898498197577 0.00013890584518509228
2455496.2595752 0.0014578008241486673 0.00017005806516189165
2455496.2804086 0.0 0.0
2455496.3012412 0.0014005352584150065 0.00024631269115781793
2455496.3220748 0.0015235617306028465 0.0002923649901776579
2455496.3429086 0.0013891026245621263 0.00024308519730621662
2455496.363741 0.0013064054600322027 0.00013781792050907634
2455496.3845747 0.001427623608124356 0.0002060640200196032
2455496.4054083 0.001242188664960587 0.00017983120034845864
2455496.426242 0.0011034029280662628 8.326860743822989e-05
2455496.4470745 0.0010894177245689826 0.0002147345839247663
2455496.4679081 0.0 0.0
2455496.4887417 0.0010889586142221266 0.00019246599573188332
2455496.5095742 0.0 0.0
2455496.530408 0.0010822884385470793 0.00026400865336454046
2455496.5512415 0.0013192749634032878 0.00020560439687842717
2455496.5720741 0.001288642459604053 0.00023700694220569584
2455496.5929077 0.0011396623860856605 0.00030049553098823706
2455496.6137414 0.0011853438559557695 0.00020623859777637907
2455496.634575 0.0012887145095104927 0.0003998724332641504
2455496.6554077 0.0015308818350005784 0.0005386839289322489
2455496.6762413 0.0013446623980653092 0.0006428004844731082
2455496.6970748 0.0015951579805896924 0.0007453006814258368
2455496.7179074 0.0014687578175108552 0.0008195834568248229
2455496.7387411 0.001648612937430499 0.0008325713477065575
2455496.7595747 0.0016431258948985143 0.0009798953480868982
2455496.7804073 0.0016714274171684554 0.0009881186732908919
2455496.8012409 0.0016609608225515483 0.0011072970877612223
2455497.5096954 0.0 0.0
2455497.5513614 0.0005032892202943232 0.0006162983214165344
2455497.5930275 0.0009663152083705683 0.0008146157302231983
2455497.6346937 0.0008794372459316186 0.0009282273324992266
2455497.6763598 0.001026593599080184 0.0009284101959497964
2455497.7180249 0.0009003424142590592 0.0009740504503541278
2455497.726871 0.0011313168156218965 0.0008636338421103649
2455497.7707352 0.0008684050253535499 0.000736024315568853
2455497.8124014 8.100180931157386e-05 -3.515472358275893e-05
2455497.8540687 0.0008354092943737079 0.0006718905069755657
2455497.8957349 0.0009069620197542116 0.000347675430495978
2455497.9374022 0.0006785885641508854 0.000343205408009773
2455497.9790684 0.0 0.0
2455498.0513611 0.0010494362009442983 0.00031247385041800974
2455498.0930272 0.0006291755942218628 0.0006443346268528024
2455498.1346933 0.0005660483017755427 0.0008368933782870023
2455498.1763595 0.0007728420429274542 0.0007943844024139046
2455498.2180255 0.0010320217901936871 0.0009699415692904004
2455498.2596906 0.001012893294375527 0.0009064712475838268
2455498.3013568 0.0011079759602333652 0.0007495936096648203
2455498.3430229 0.001061762450759441 0.0007467465461130772
2455498.3846892 0.0008828571156965431 0.0006417490244875045
2455498.4680214 0.0010013759951958369 0.0006488346045337358
2455498.5096864 0.000814788760135352 0.000605979204516146
2455498.5513526 0.0007736021160657628 0.0006517536770544903
2455498.5930187 0.0008037320874145821 0.0005040687621617226
2455498.634685 0.0006622816060808654 0.0004597018915205269
2455498.676351 0.0007297597303857945 0.00041247649998514985
2455498.7180172 0.0007109894380389481 0.00027507155501996786
2455498.7268701 0.0007852967888078948 0.00038816500076449946
2455498.7707343 0.006142514387579405 0.00028909846944771963
2455498.8124005 0.0003288884364010869 0.0001246094918121454
2455498.8540679 -0.00016498907712262555 -0.0001427280288684713
2455498.8957341 0.0006947704874593509 0.0003956318005838619
2455498.9374014 -0.00011150511815785054 -0.0001626178898807832
2455498.9790675 0.0011427669958189157 0.0009632240511464358
2455499.0513603 0.0 0.0
2455499.0930263 0.0 0.0
2455499.1346925 0.0 0.0
2455499.1763587 0.0 0.0
2455499.2180247 0.0 0.0
2455499.2596898 0.0 0.0
2455499.3013559 0.0 0.0
2455499.3430221 0.0 0.0
2455499.3846882 0.0 0.0
2455499.4680206 0.0 0.0
2455499.5096856 0.0007503067399599568 0.00047593115610801293
2455499.5513517 0.0007566702419663911 0.00040529814861704397
2455499.593018 0.0006953129406125811 0.00048649187341800787
2455499.6346841 0.0010149536750252524 0.0005394374376773127
2455499.6763502 0.0009790857954694542 0.0005736507396991228
2455499.7180164 0.001014466457978066 0.0006364773068483113
2455499.7268693 0.0006639984751236862 0.0002975159552610265
2455499.7707336 0.0 0.0
2455499.8123998 0.0013164690325922226 0.0006940193511624994
2455499.8540671 0.0012693265665961473 0.0011046625654055025
2455499.8957333 0.0016066896458356767 0.0012287441302721908
2455499.9374006 0.0015273512818973747 0.0015141012474493792
2455499.9790666 0.001572693572684263 0.001444252965680773
2455500.0513595 0.0 0.0
2455500.0930256 0.0012811892883465106 0.0010975067867655148
2455500.1346917 0.001283124586546905 0.0010143621552531719
2455500.1763578 0.001248722579530195 0.0007822908961671138
2455500.218024 0.0010894676322274653 0.0007570585420253749
2455500.259689 0.0011202379896052919 0.0006868606549984464
2455500.3013551 0.0010623025145198835 0.0006823439807938357
2455500.3430213 0.001043400925301463 0.0007842965597812345
2455500.3846874 0.0009534139417706852 0.0010189522993718058
2455500.4680199 0.001554527326204312 0.0013366789640134487
2455500.5096847 0.0018026060574364176 0.001459066012835692
2455500.5513509 0.0020617925137846695 0.0015452394578291096
2455500.593017 0.0022502054746264748 0.0015215099943867664
2455500.6346833 0.001907156760624168 0.0015408423700853718
2455500.6763493 0.001722737262472428 0.0011997168676302287
2455500.7180155 0.001669818855072053 0.0010681386231440077
2455500.7268674 0.0016399398269120525 0.001089012330898398
2455500.7707316 0.001575339524832399 0.000820217573129979
2455500.8123978 0.001487418088467603 0.0006984101750401866
2455500.8540651 0.0014946214842748691 0.0007223123220358973
2455500.8957312 0.001464368080913252 0.0007815979618016579
2455500.9373985 0.0015318545704420719 0.0006434204332678242
2455500.9790647 0.0012434119607133175 0.0006734441793038139
2455501.0513576 0.0 0.0
2455501.0930236 0.0010689040446967028 0.00057433608516213
2455501.1346897 0.0008440014201067849 0.0006449297309370333
2455501.1763559 0.0010258059571443278 0.000931298862746903
2455501.2180219 0.001249028848479512 0.0012861422400258554
2455501.2596871 0.0016299509604662118 0.0014667500488866744
2455501.3013533 0.002209137028432375 0.0019802077292863916
2455501.3430193 0.0024517654929267483 0.0021610601526105616
2455501.3846855 0.002534583413157268 0.002302935863909758
2455501.4680178 0.0027625522126932672 0.0022520199285197104
2455501.5096828 0.0027964640211681404 0.0020808941583383964
