Created 04/28/21 by L. Feaga
HRI-IR/raw/DOY/ID/hi*_001*.fit
 
NAME                   SIZE      EXPID   OBSMIDJD         OBSDATE                 IMGMODEN IMGH027 INTTIME (ms)  TARSCR (km)   PXLSCALE (m/pix)  
DOY 298 
hi10102603_4000043_001 512 256   4000043 2455495.63582560 2010-10-26T03:15:29.330 BINFF    17      12000.3300000 10021903.5403 100219.035
hi10102603_4000045_001 512 256   4000045 2455495.65665930 2010-10-26T03:45:29.362 BINFF    17      12000.3300000 9999957.50983 99999.575
hi10102604_4000047_001 512 256   4000047 2455495.67749280 2010-10-26T04:15:29.378 BINFF    17      12000.3300000 9978010.68103 99780.107
hi10102604_4000049_001 512 256   4000049 2455495.69832560 2010-10-26T04:45:29.328 BINFF    17      12000.3300000 9956063.67500 99560.637
hi10102605_4000051_001 512 256   4000051 2455495.71915920 2010-10-26T05:15:29.352 BINFF    17      12000.3300000 9934114.77896 99341.148
hi10102605_4000053_001 512 256   4000053 2455495.73999270 2010-10-26T05:45:29.372 BINFF    17      12000.3300000 9912164.94738 99121.649
hi10102606_4000055_001 512 256   4000055 2455495.76082520 2010-10-26T06:15:29.299 BINFF    17      12000.3300000 9890215.27783 98902.153
hi10102606_4000057_001 512 256   4000057 2455495.78165890 2010-10-26T06:45:29.331 BINFF    17      12000.3300000 9868263.34275 98682.633
hi10102607_4000059_001 512 256   4000059 2455495.80249250 2010-10-26T07:15:29.355 BINFF    17      12000.3300000 9846310.52548 98463.105
hi10102607_4000061_001 512 256   4000061 2455495.82332500 2010-10-26T07:45:29.281 BINFF    17      12000.3300000 9824357.92375 98243.579
hi10102608_4000063_001 512 256   4000063 2455495.84415870 2010-10-26T08:15:29.313 BINFF    17      12000.3300000 9802403.06203 98024.031
hi10102615_4000001_001 512 256   4000001 2455496.15318550 2010-10-26T15:40:29.224 BINFF    17      12000.3300000 9476633.06148 94766.331
hi10102616_4000003_001 512 256   4000003 2455496.17401920 2010-10-26T16:10:29.256 BINFF    17      12000.3300000 9454663.03936 94546.630
hi10102616_4000005_001 512 256   4000005 2455496.19485280 2010-10-26T16:40:29.280 BINFF    17      12000.3300000 9432692.17132 94326.922
hi10102617_4000007_001 512 256   4000007 2455496.21568540 2010-10-26T17:10:29.222 BINFF    17      12000.3300000 9410721.36530 94107.214
hi10102617_4000009_001 512 256   4000009 2455496.23651900 2010-10-26T17:40:29.246 BINFF    17      12000.3300000 9388748.62059 93887.486
hi10102618_4000011_001 512 256   4000011 2455496.25735280 2010-10-26T18:10:29.278 BINFF    17      12000.3300000 9366774.84506 93667.748
hi10102618_4000013_001 512 256   4000013 2455496.27818610 2010-10-26T18:40:29.282 BINFF    17      12000.3300000 9344800.46986 93448.005
hi10102619_4000015_001 512 256   4000015 2455496.29901880 2010-10-26T19:10:29.224 BINFF    17      12000.3300000 9322825.92618 93228.259
hi10102619_4000017_001 512 256   4000017 2455496.31985240 2010-10-26T19:40:29.248 BINFF    17      12000.3300000 9300849.45143 93008.495
hi10102620_4000019_001 512 256   4000019 2455496.34068620 2010-10-26T20:10:29.284 BINFF    17      12000.3300000 9278871.90595 92788.719
hi10102620_4000021_001 512 256   4000021 2455496.36151860 2010-10-26T20:40:29.206 BINFF    17      12000.3300000 9256894.81797 92568.948
hi10102621_4000023_001 512 256   4000023 2455496.38235230 2010-10-26T21:10:29.238 BINFF    17      12000.3300000 9234915.47079 92349.155
hi10102621_4000025_001 512 256   4000025 2455496.40318590 2010-10-26T21:40:29.262 BINFF    17      12000.3300000 9212935.29721 92129.353
hi10102622_4000027_001 512 256   4000027 2455496.42401960 2010-10-26T22:10:29.290 BINFF    17      12000.3300000 9190954.15611 91909.542
hi10102622_4000029_001 512 256   4000029 2455496.44485200 2010-10-26T22:40:29.217 BINFF    17      12000.3300000 9168973.33746 91689.733
hi10102623_4000031_001 512 256   4000031 2455496.46568570 2010-10-26T23:10:29.241 BINFF    17      12000.3300000 9146990.41033 91469.904
hi10102623_4000033_001 512 256   4000033 2455496.48651920 2010-10-26T23:40:29.261 BINFF    17      12000.3300000 9125006.61697 91250.066
DOY 300
hi10102700_4000035_001 512 256   4000035 2455496.50735180 2010-10-27T00:10:29.199 BINFF    17      12000.3300000 9103022.91357 91030.229
