jd, h2o, co2, dust
2455494.5095779 0.00110628811652935 0.0005497054522467219 0.0005497054522467219
2455494.5304115 0.0013241019177080658 0.0007489092662107595 0.0007489092662107595
2455494.5512441 0.0012199387158406464 0.0006056434384362271 0.0006056434384362271
2455494.5720778 0.0014089331561928566 0.0005396943793088138 0.0005396943793088138
2455494.5929114 0.0013063746429964902 0.0005468849012080864 0.0005468849012080864
2455494.6137439 0.0009867938866485338 0.00042104727590846363 0.00042104727590846363
2455494.6345776 0.0009828356716155005 0.00035493519561045857 0.00035493519561045857
2455494.6554112 0.0011651025752076297 0.00035925543498862666 0.00035925543498862666
2455494.6762448 0.0010094364910320835 0.00026928480826248267 0.00026928480826248267
2455494.6970775 0.0009581192480475284 0.0003205553641820717 0.0003205553641820717
2455494.7179112 0.0010202598780232389 0.00016173044122025476 0.00016173044122025476
2455494.7387446 0.00108394695164876 0.0002826848985910954 0.0002826848985910954
2455494.7595772 0.0009577475383686414 0.00014714393776058202 0.00014714393776058202
2455494.7804109 0.0007911339562234824 0.0001596918300436596 0.0001596918300436596
2455494.8012445 0.0009191349538450722 0.00016093774715039222 0.00016093774715039222
2455494.822077 0.0010743957685732915 0.0001193147753605453 0.0001193147753605453
2455494.8429107 0.0010890165151258221 0.0001490217010239048 0.0001490217010239048
2455495.2005482 0.0 0.0 0.0
2455495.2213818 0.0008324187670276041 0.00013589924037217294 0.00013589924037217294
2455495.2422155 0.0008278010088115671 0.00024796403625264627 0.00024796403625264627
2455495.2630479 0.0008519484381659356 0.0002754832852830114 0.0002754832852830114
2455495.2838816 0.000900573512766065 0.0002447856904162383 0.0002447856904162383
2455495.3047152 0.0009973258654932414 0.0004130904974601384 0.0004130904974601384
2455495.3255489 0.001008486881708329 0.00044184781880256626 0.00044184781880256626
2455495.3463814 0.0010965933831124327 0.0005295197437521067 0.0005295197437521067
2455495.3672151 0.0010536695128238673 0.0005170036946175371 0.0005170036946175371
2455495.3880487 0.0010639937511885973 0.000538905896401284 0.000538905896401284
2455495.4088813 0.0010193242016453136 0.0004189687130306866 0.0004189687130306866
2455495.4297149 0.001020939188199258 0.0005331809646466634 0.0005331809646466634
2455495.4505486 0.0011428419746790435 0.0004809355438984883 0.0004809355438984883
2455495.4713821 0.0012081370171497033 0.0004324233537297888 0.0004324233537297888
2455495.4922148 0.0012168152163680812 0.00043787909324686874 0.00043787909324686874
2455495.5130484 0.0 0.0 0.0
