julian date, mid-obs // temperature, K (smooth) // dark level, DN/ms // best fit level // exposure time // doy // exposure id // outlier flag
2455494.5095779 137.21532747514524 0.6137824058532715 0.6172042432225697 12000.33 298.0 4000031 1.0 
2455494.5304115 137.2120345956602 0.6138449907302856 0.6169153574549405 12000.33 298.0 4000033 1.0 
2455494.5512441 137.21018958167932 0.6139301657676697 0.6167534935657286 12000.33 298.0 4000035 1.0 
2455494.5720778 137.2137583843843 0.6140660643577576 0.6170665861989791 12000.33 298.0 4000037 1.0 
2455494.5929114 137.2244311901872 0.6140512824058533 0.6180029161530911 12000.33 298.0 4000039 1.0 
2455494.6137439 137.2130360935602 0.614143431186676 0.6170032193068338 12000.33 298.0 4000041 1.0 
2455494.6345776 137.21318961768134 0.6142072081565857 0.6170166880456043 12000.33 298.0 4000043 1.0 
2455494.6554112 137.21675849958424 0.6142501831054688 0.617329787626923 12000.33 298.0 4000045 1.0 
2455494.6762448 137.2200518396454 0.6143441796302795 0.6176187138010982 12000.33 298.0 4000047 1.0 
2455494.6970775 137.20772510594642 0.6144089102745056 0.6165372840241594 12000.33 298.0 4000049 1.0 
2455494.7179112 137.2095687666631 0.6144222617149353 0.6166990291909062 12000.33 298.0 4000051 1.0 
2455494.7387446 137.21958539858696 0.6144828796386719 0.6175777927215882 12000.33 298.0 4000053 1.0 
2455494.7595772 137.22229370006792 0.6145163178443909 0.6178153932034315 12000.33 298.0 4000055 1.0 
2455494.7804109 137.2122415869163 0.6145594120025635 0.6169335168890093 12000.33 298.0 4000057 1.0 
2455494.8012445 137.2158103895207 0.6146429777145386 0.6172466095134362 12000.33 298.0 4000059 1.0 
2455494.822077 137.22258492345708 0.6146615743637085 0.6178409423596365 12000.33 298.0 4000061 1.0 
2455494.8429107 137.20816263980905 0.6146718263626099 0.6165756690626467 12000.33 298.0 4000063 1.0 
2455495.2005482 137.18127583013705 0.6104516983032227 0.6142168774073559 12000.33 298.0 4000001 1.0 
2455495.2213818 137.19068158979965 0.610637366771698 0.6150420488454867 12000.33 298.0 4000003 1.0 
2455495.2422155 137.17960515514426 0.6107756495475769 0.6140703083543589 12000.33 298.0 4000005 1.0 
2455495.2630479 137.17883425023354 0.610932469367981 0.6140026765269828 12000.33 298.0 4000007 1.0 
2455495.2838816 137.18969745845962 0.6110881567001343 0.614955710569548 12000.33 298.0 4000009 1.0 
2455495.3047152 137.19743949886677 0.6112083792686462 0.6156349231845858 12000.33 298.0 4000011 1.0 
2455495.3255489 137.1763911944787 0.6113648414611816 0.6137883461695237 12000.33 298.0 4000013 1.0 
2455495.3463814 137.18759161900195 0.6115024089813232 0.6147709643463727 12000.33 298.0 4000015 1.0 
2455495.3672151 137.1978789113712 0.6116212606430054 0.6156734730371455 12000.33 298.0 4000017 1.0 
2455495.3880487 137.1923627906364 0.6117429137229919 0.6151895413354087 12000.33 298.0 4000019 1.0 
2455495.4088813 137.18618158969906 0.6118366122245789 0.6146472618545584 12000.33 298.0 4000021 1.0 
2455495.4297149 137.19407634092616 0.6119198799133301 0.6153398718570934 12000.33 298.0 4000023 1.0 
2455495.4505486 137.20363695015155 0.6120283603668213 0.6161786283155751 12000.33 298.0 4000025 1.0 
2455495.4713821 137.19504457477268 0.6120830774307251 0.615424815438925 12000.33 298.0 4000027 1.0 
2455495.4922148 137.19 0.6121641397476196 0.614982252672145 12000.33 298.0 4000029 1.0 
2455495.5130484 137.20015318623254 0.6122483611106873 0.6158729961724758 12000.33 299.0 4000031 1.0 
2455495.5338819 137.21269756641766 0.6123201251029968 0.616973520171509 12000.33 299.0 4000033 1.0 
2455495.5547147 137.19324214843226 0.6124259233474731 0.6152666877821684 12000.33 299.0 4000035 1.0 
2455495.5755484 137.19381843192608 0.6124861836433411 0.6153172453869152 12000.33 299.0 4000037 1.0 
2455495.5963821 137.20274525906578 0.6125460863113403 0.6161003998638597 12000.33 299.0 4000039 1.0 
2455495.6172144 137.20772713687447 0.6126566529273987 0.6165374621983712 12000.33 299.0 4000041 1.0 
2455495.638048 137.19347123653975 0.6126663684844971 0.6152867857827443 12000.33 299.0 4000043 1.0 
2455495.6588817 137.19924200439877 0.6127424836158752 0.6157930577888533 12000.33 299.0 4000045 1.0 
2455495.6797152 137.20959248300164 0.6128084063529968 0.6167011098357332 12000.33 299.0 4000047 1.0 
2455495.700548 137.20202937535203 0.6128163933753967 0.6160375950703288 12000.33 299.0 4000049 1.0 
2455495.7213816 137.19299999999998 0.6128851771354675 0.6152454439935462 12000.33 299.0 4000051 1.0 
2455495.7422151 137.1986367341135 0.6128939986228943 0.6157399571601253 12000.33 299.0 4000053 1.0 
2455495.7630477 137.212197314386 0.6129399538040161 0.6169296328404265 12000.33 299.0 4000055 1.0 
2455495.7838814 137.19433149994634 0.6129682064056396 0.6153622570703237 12000.33 299.0 4000057 1.0 
2455495.804715 137.1979553603519 0.6129878759384155 0.6156801799398962 12000.33 299.0 4000059 1.0 
2455495.8255474 137.203 0.6130140423774719 0.6161227483982242 12000.33 299.0 4000061 1.0 
2455495.8463811 137.19602901624063 0.6130539774894714 0.6155111809225229 12000.33 299.0 4000063 1.0 
2455496.1554079 137.2095733066786 0.609915554523468 0.6166994274884667 12000.33 299.0 4000001 1.0 
2455496.1762416 137.20439989239114 0.6100342869758606 0.6162455615743058 12000.33 299.0 4000003 1.0 
2455496.1970752 137.19366697349983 0.6102190017700195 0.615303957872468 12000.33 299.0 4000005 1.0 
2455496.2179079 137.2161066786262 0.6103466153144836 0.617272603087168 12000.33 299.0 4000007 1.0 
